# File: A23.elecS_tech_mapping.csv,
# Title: Multiple Load Segments to Single Electricity Sector Mapping (Modified to extract global capacity factor for US-level electricity generation analysis),
# Units: NA,
# Comments: Mapping file between single electricity sector and multiple load segments electricity sector technologies,
# Column types: cccccc ,
# ----------,
Electric.sector.technology,technology
biomass_base_conv,biomass (conv)
biomass_base_conv_CCS,biomass (conv CCS)
biomass_base_IGCC,biomass (IGCC)
biomass_base_IGCC_CCS,biomass (IGCC CCS)
biomass_int_conv,biomass (conv)
biomass_int_conv_CCS,biomass (conv CCS)
biomass_int_IGCC,biomass (IGCC)
biomass_int_IGCC_CCS,biomass (IGCC CCS)
coal_base_conv pul,coal (conv pul)
coal_base_conv pul 1951-1955,coal (conv pul)
coal_base_conv pul 1956-1960,coal (conv pul)
coal_base_conv pul 1961-1965,coal (conv pul)
coal_base_conv pul 1966-1970,coal (conv pul)
coal_base_conv pul 1971-1975,coal (conv pul)
coal_base_conv pul 1976-1980,coal (conv pul)
coal_base_conv pul 1981-1985,coal (conv pul)
coal_base_conv pul 1986-1990,coal (conv pul)
coal_base_conv pul 1991-1995,coal (conv pul)
coal_base_conv pul 1996-2000,coal (conv pul)
coal_base_conv pul 2001-2005,coal (conv pul)
coal_base_conv pul 2006-2010,coal (conv pul)
coal_base_conv pul 2011-2015,coal (conv pul)
coal_base_conv pul before 1950,coal (conv pul)
coal_base_conv pul_CCS,coal (conv pul CCS)
coal_base_conv pul_retire_2020,coal (conv pul)
coal_base_IGCC_CCS,coal (IGCC CCS)
coal_int_conv pul,coal (conv pul)
coal_int_conv pul 1951-1955,coal (conv pul)
coal_int_conv pul 1956-1960,coal (conv pul)
coal_int_conv pul 1961-1965,coal (conv pul)
coal_int_conv pul 1966-1970,coal (conv pul)
coal_int_conv pul 1971-1975,coal (conv pul)
coal_int_conv pul 1976-1980,coal (conv pul)
coal_int_conv pul 1981-1985,coal (conv pul)
coal_int_conv pul 1986-1990,coal (conv pul)
coal_int_conv pul 1991-1995,coal (conv pul)
coal_int_conv pul 1996-2000,coal (conv pul)
coal_int_conv pul 2001-2005,coal (conv pul)
coal_int_conv pul 2006-2010,coal (conv pul)
coal_int_conv pul 2011-2015,coal (conv pul)
coal_int_conv pul before 1950,coal (conv pul)
coal_int_conv pul_CCS,coal (conv pul CCS)
coal_int_conv pul_retire_2020,coal (conv pul)
coal_int_IGCC_CCS,coal (IGCC CCS)
coal_peak_conv pul,coal (conv pul)
coal_peak_conv pul_retire_2020,coal (conv pul)
coal_subpeak_conv pul,coal (conv pul)
coal_subpeak_conv pul_retire_2020,coal (conv pul)
gas_base_CC,gas (CC)
gas_base_CC_CCS,gas (CC CCS)
gas_int_CC,gas (CC)
gas_int_CC_CCS,gas (CC CCS)
gas_peak_CC,gas (CC)
gas_peak_CC_CCS,gas (CC CCS)
gas_peak_steam/CT,gas (steam/CT)
gas_subpeak_CC,gas (CC)
gas_subpeak_CC_CCS,gas (CC CCS)
gas_subpeak_steam/CT,gas (steam/CT)
geo_base,geothermal
hydro_base,hydro
hydro_int,hydro
nuc_base_Gen II,Gen_II_LWR
nuc_base_Gen III,Gen_III
refined liquids_base_CC,refined liquids (CC)
refined liquids_base_CC_CCS,refined liquids (CC CCS)
refined liquids_base_steam/CT,refined liquids (steam/CT)
refined liquids_int_CC,refined liquids (CC)
refined liquids_int_CC_CCS,refined liquids (CC CCS)
refined liquids_int_steam/CT,refined liquids (steam/CT)
refined liquids_peak_CC,refined liquids (CC)
refined liquids_peak_CC_CCS,refined liquids (CC CCS)
refined liquids_peak_steam/CT,refined liquids (steam/CT)
refined liquids_subpeak_CC,refined liquids (CC)
refined liquids_subpeak_CC_CCS,refined liquids (CC CCS)
refined liquids_subpeak_steam/CT,refined liquids (steam/CT)
rooftop_pv,rooftop_pv
CSP_base_storage,CSP_storage
CSP_int,CSP
CSP_peak,CSP
CSP_subpeak,CSP
PV_base_storage,PV_storage
PV_int,PV
PV_peak,PV
PV_subpeak,PV
wind_base,wind
wind_base_offshore,wind
wind_base_storage,wind_storage
wind_int,wind
wind_subpeak,wind
