name;fun;dependencies;checks;queries
population_clean;get_population;;;population by region
GDP_PPP_clean;get_gdp_ppp;population_clean;;GDP per capita PPP by region
GDP_MER_clean;get_gdp_mer;;;GDP MER by region
forcing_clean;get_forcing;;;total climate forcing
global_temp_clean;get_temperature;;;global mean temperature
co2_concentration_clean;get_co2_concentration;;;CO2 concentrations
co2_clean;get_co2;;;CO2 emissions by sector (no bio) (excluding resource production)
nonbio_share;get_nonbio_tmp;;;CO2 emissions by sector (excluding resource production),CO2 emissions by sector (no bio) (excluding resource production)
co2_tech_nobio;get_co2_tech_nobio_tmp;nonbio_share;;CO2 emissions by tech (excluding resource production)
co2_tech_emissions;get_co2_tech_emissions_tmp;co2_tech_nobio;;
iron_steel_map;get_iron_steel_map;;;industry final energy by tech and fue
co2_tech_ironsteel;get_co2_iron_steel;co2_tech_nobio,iron_steel_map;;
LU_carbon_clean;get_lu_co2;;;LUC emissions by region
co2_emissions_clean;get_co2_emissions;co2_clean,LU_carbon_clean,co2_tech_emissions;;
tot_co2_clean;get_total_co2_emissions;co2_clean,LU_carbon_clean;;
nonco2_clean;get_nonco2_emissions;;;nonCO2 emissions by sector (excluding resource production),nonCO2 emissions by resource production
f_gas_clean;get_fgas;;;nonCO2 emissions by region
ghg_all;get_ghg;LU_carbon_clean;;nonCO2 emissions by region
ghg_sector_clean;get_ghg_sector;LU_carbon_clean;;nonCO2 emissions by sector (excluding resource production),nonCO2 emissions by resource production,CO2 emissions by sector (no bio) (excluding resource production)
co2_sequestration_clean;get_co2_sequestration;;;CO2 sequestration by tech
ag_demand_clean;get_ag_demand;;;demand balances by crop commodity,demand balances by meat and dairy commodity
ag_production_clean;get_ag_production;;;ag production by crop type
land_clean;get_land;;;aggregated land allocation
primary_energy_clean;get_primary_energy;;;primary energy consumption with CCS by region (direct equivalent)
energy_trade_prod;get_energy_trade_prod;;;resource production
energy_trade_supply;get_energy_trade_tmp;;;supply of all markets
energy_trade_clean;get_energy_trade;energy_trade_prod,energy_trade_supply;check_trade;
check_trade;do_check_trade;;;
elec_gen_tech_clean;get_elec_gen_tech;;;elec gen by gen tech
secondary_solids;get_secondary_solids;;;inputs by sector
se_gen_tech_clean;get_se_gen_tech;secondary_solids;;gas production by tech,hydrogen production by tech,refined liquids production by tech
fe_sector;get_fe_sector_tmp;;;final energy consumption by sector and fuel
fe_transportation;get_fe_transportation_tmp;;;transport final energy by mode and fuel
fe_sector_clean;get_fe_sector;fe_sector,fe_transportation;
energy_service_transportation_clean;get_energy_service_transportation;;;transport service output by mode
energy_service_buildings_clean;get_energy_service_buildings;;;building floorspace
industry_production_clean;get_industry_production;;;industry primary output by sector
ag_prices_wld;get_ag_prices_wld_tmp;ag_demand_clean;;prices by sector
ag_prices_clean;get_ag_prices;ag_prices_wld;;prices by sector
price_var;get_price_var_tmp;;;
regions.global;get_regions_tmp;;;
region_en_weight;get_regions_weight_tmp;fe_sector_clean;;Final Energy
co2_price_share_bysec;get_co2_price_share;co2_clean;;nonCO2 emissions by region,nonCO2 emissions by sector (excluding resource production)
co2_price_global;get_co2_price_global_tmp;regions.global,price_var;;CO2 prices
co2_price_fragmented;get_co2_price_fragmented_tmp;price_var,region_en_weight,regions.global,co2_price_share_bysec;;CO2 prices
co2_price_clean;get_co2_price;co2_price_fragmented,co2_price_global;;
gov_revenue_sector;get_gov_revenue_sector;co2_clean;;
gov_revenue_clean;get_gov_revenue;gov_revenue_sector;;
prices_subsector;get_prices_subsector;;;prices by sector,costs by subsector
energy_price_fragmented;get_energy_price_fragmented;prices_subsector;;CO2 prices
total_revenue;get_total_revenue;;;resource production,prices by sector
regional_emission;get_regional_emission;nonco2_content;;resource production
energy_price;get_energy_price_tmp;energy_price_fragmented;;
energy_price_clean;get_energy_price;energy_price;;
cf_iea;get_cf_iea_tmp;elec_gen_tech_clean;;
elec_cf;get_elec_cf_tmp;cf_iea;;
elec_capacity_tot_clean;get_elec_capacity_tot;elec_cf;;elec gen by gen tech and cooling tech and vintage
elec_capacity_add;get_elec_capacity_add_tmp;elec_cf;;elec gen by gen tech and cooling tech and vintage
elec_capacity_add_clean;get_elec_capacity_add;elec_capacity_add;;
elec_capital_clean;get_elec_capital;;;
elec_investment_clean;get_elec_investment;elec_capacity_add;;
transmission_invest_clean;get_transmission_invest;elec_capacity_add_clean;;
CCS_invest_clean;get_CCS_invest;co2_sequestration_clean;;
resource_investment_clean;get_resource_investment;;;resource production by tech and vintage,regional primary energy prices
iron_steel_imports;get_iron_steel_imports;;;regional iron and steel sources
iron_steel_exports;get_iron_steel_exports;;;traded iron and steel
iron_steel_clean;get_iron_steel_clean;iron_steel_imports,iron_steel_exports;;
